id;name
1;Договор о КРТ
2;Аукцион
3;Решение о КРТ
4;Работа с правообладателями
5;Предложения по исключению из ПЗЗ города Москвы
6;Исключение из ПЗЗ города Москвы
7;Решение о реализации проекта
