key,name,type
id,id,number
district,Округ,dictionary_district
krt,КРТ,data_krt
stage,Этап,dictionary_stage_krt_confirm
status_stage,Статус этапа,dictionary_status_stage_krt_confirm
date_start,Дата начала этапа,date
date_end,Дата завершения этапа,date
next_stage,Следующий этап,dictionary_stage_krt_confirm
date_next,Ориентировочная дата следующего этапа,date
descriptions,Примечание,string
group_name,Группа,dictionary_group_krt_confirm
change_at,Изменено,datetime
