id;name;fullname
1;Выпуск ППМ;Выпуск постановения правительства Москвы
2;ГЗК ЭОО;
3;Решение о КРТ;
4;ЭОО;Общественные обсуждения/ публичные слушания
5;ГК;Городская комиссия 
6;РГ ГЗК (повторно);
7;РГ ГЗК ;
8;Градостроительный потенциал;
9;Направление на Градполитику;
10;Разработка градостроительного потенциала;
11;ГЗК;
